TIMESTAMP,RECORD,AirTC_Avg,RH,T107_C,T107_C_2,WP_kPa,WP_kPa_2,VW_Avg,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,SlrkW_Avg,SlrMJ_Tot,NR_Wm2_Avg,CNR_Wm2_Avg,Rain_mm_Tot,BP_mbar_Avg
2016-04-08,95.5,9.283999999999999,78.484,-124.667,-136.122,-3.693,-3.6919999999999997,,1.172,214.574,30.691,0.114,1.03,50.623000000000005,50.623000000000005,0.0,1003.01
2016-04-09,191.5,7.281000000000001,79.212,-130.942,-130.374,-3.694,-3.696,,1.355,226.17700000000002,34.652,0.11800000000000001,1.064,41.475,41.474,0.0,994.5939999999999
2016-04-10,287.5,7.002999999999999,72.708,-110.323,-116.11,-3.694,-3.694,,1.7630000000000001,118.34899999999999,26.401999999999997,0.16699999999999998,1.507,69.247,69.266,0.0,1000.677
2016-04-11,383.5,10.468,83.865,-122.585,-136.091,-3.696,-3.697,,2.171,63.714,24.319000000000003,0.11199999999999999,1.0070000000000001,49.099,49.184,0.0,1000.25
2016-04-12,479.5,10.059,84.848,-122.554,-133.011,-3.693,-3.694,,0.971,241.215,32.683,0.078,0.7020000000000001,29.171999999999997,29.171999999999997,0.0,998.698
2016-04-13,575.5,10.685,73.719,-108.995,-120.70299999999999,-3.696,-3.697,,0.865,212.739,44.977,0.19899999999999998,1.7919999999999998,88.57700000000001,88.57700000000001,0.0,1000.927
2016-04-14,671.5,9.619,84.00299999999999,-117.427,-118.176,-3.693,-3.6919999999999997,,1.7309999999999999,68.041,28.711,0.11599999999999999,1.047,53.505,53.508,0.0,1002.9060000000001
2016-04-15,767.5,6.992000000000001,91.73100000000001,-119.931,-118.11200000000001,,,,1.5430000000000001,104.314,25.046,0.035,0.314,1.409,1.4080000000000001,0.0,995.135
2016-04-16,863.5,4.89,78.953,-116.61399999999999,-132.361,-3.696,-3.685,,1.7819999999999998,279.082,31.969,0.152,1.369,61.768,61.78,0.0,997.51
2016-04-17,959.5,6.352,70.14399999999999,-107.485,-119.92299999999999,-3.698,-3.695,,1.382,283.992,25.923000000000002,0.187,1.6840000000000002,73.855,73.858,0.0,1008.073
2016-04-18,1055.5,8.641,71.942,-108.22,-134.446,-3.695,-3.694,,2.074,266.611,23.584,0.083,0.743,30.666,30.688000000000002,0.0,1013.125
2016-04-19,1151.5,9.719,68.839,-104.831,-120.473,-3.6910000000000003,-3.694,,1.262,185.324,33.285,0.24100000000000002,2.167,109.62100000000001,109.62100000000001,0.0,1021.0830000000001
2016-04-20,1247.5,8.786,70.03,-103.969,-120.50399999999999,-3.698,-3.696,,1.32,116.412,27.651999999999997,0.242,2.1830000000000003,109.76,109.764,0.0,1023.7080000000001
2016-04-21,1343.5,8.625,74.03699999999999,-105.022,-119.99600000000001,-3.6919999999999997,-3.694,,1.909,100.823,27.444000000000003,0.204,1.84,98.155,98.20200000000001,0.0,1019.073
2016-04-22,1439.5,8.172,75.209,-114.41799999999999,-134.045,-3.675,-3.695,,2.4330000000000003,68.735,21.142,0.107,0.961,51.67100000000001,51.695,0.0,1016.375
2016-04-23,1535.5,6.419,67.319,-102.272,-117.046,,,,1.41,267.08,32.501,0.16399999999999998,1.474,66.904,66.907,0.0,1014.5830000000001
2016-04-24,1631.5,6.388999999999999,77.265,-102.665,-118.863,,,,1.871,252.38,25.973000000000003,0.141,1.268,62.001999999999995,62.021,0.0,1013.0419999999999
2016-04-25,1727.5,6.487,84.50200000000001,-104.0,-119.99600000000001,,,,1.8019999999999998,258.481,28.303,0.086,0.777,8.913,8.932,0.0,1003.177
2016-04-26,1823.5,3.964,74.454,-108.12899999999999,-126.25200000000001,,,,2.331,299.45,23.68,0.156,1.401,40.797,40.900999999999996,0.0,1001.385
2016-04-27,1919.5,4.289,79.09100000000001,-110.708,-129.991,-3.69,-3.68,,1.339,233.882,35.747,0.163,1.4680000000000002,52.778999999999996,52.782,0.0,1005.323
2016-04-28,2015.5,5.142,79.572,-110.47,-129.178,,,,1.561,243.96599999999998,30.139,0.14800000000000002,1.335,38.554,38.552,0.0,1003.5830000000001
2016-04-29,2111.5,5.797000000000001,74.642,-105.76899999999999,-135.774,,,,2.8169999999999997,264.684,24.371,0.18899999999999997,1.6969999999999998,63.578,64.006,0.0,1000.927
2016-04-30,2207.5,6.273,78.33800000000001,-103.882,-130.418,,,,1.7830000000000001,275.101,25.261999999999997,0.182,1.6369999999999998,58.618,58.633,0.0,1013.7710000000001
2016-05-01,2303.5,9.085,77.717,-107.109,-118.256,-3.6910000000000003,-3.699,,1.091,178.729,43.896,0.149,1.3459999999999999,71.539,71.543,0.0,1017.9689999999999
2016-05-02,2399.5,12.11,78.654,-105.34700000000001,-124.14299999999999,-3.693,-3.6889999999999996,,1.9180000000000001,232.092,39.06,0.136,1.227,45.181000000000004,45.206,0.0,1010.698
2016-05-03,2495.5,9.652000000000001,67.44,-102.59899999999999,-122.535,,,,2.227,267.902,25.621,0.162,1.459,59.121,59.208,0.0,1016.7810000000001
